plantid,period,avg_mw
7900,2012_02,187.9
7900,2012_03,92.8
7900,2012_04,53.0
7900,2012_05,69.5
7900,2012_06,251.9
7900,2012_07,277.5
7900,2012_08,298.4
7900,2012_09,229.3
7900,2012_10,209.9
7900,2012_11,142.4
7900,2012_12,169.3
7900,2013_01,177.1
7900,2013_02,149.6
7900,2013_03,118.7
7900,2013_04,18.9
7900,2013_05,24.7
7900,2013_06,107.7
7900,2013_07,286.9
7900,2013_08,320.8
7900,2013_09,183.7
7900,2013_10,132.3
7900,2013_11,130.8
7900,2013_12,189.7
7900,2014_01,143.3
7900,2014_02,96.3
7900,2014_03,20.5
7900,2014_04,15.7
7900,2014_05,99.9
7900,2014_06,225.3
7900,2014_07,226.3
7900,2014_08,298.4
7900,2014_09,224.6
7900,2014_10,212.4
7900,2014_11,22.8
7900,2014_12,49.6
7900,2015_01,114.2
7900,2015_02,132.4
7900,2015_04,154.8
7900,2015_05,249.9
7900,2015_06,274.7
7900,2015_07,301.1
7900,2015_08,314.1
7900,2015_09,278.5
7900,2015_10,129.5
7900,2015_11,66.1
7900,2015_12,215.1
7900,2016_01,192.4
7900,2016_02,140.3
7900,2016_03,117.4
7900,2016_04,206.2
7900,2016_05,230.5
7900,2016_06,277.9
7900,2016_07,291.7
7900,2016_08,288.4
7900,2016_09,166.4
7900,2016_10,141.9
7900,2016_11,38.3
7900,2016_12,104.3
7900,2017_01,66.4
7900,2017_02,142.5
7900,2017_03,128.5
7900,2017_04,27.4
7900,2017_05,185.1
7900,2017_06,234.2
7900,2017_07,215.3
7900,2017_08,229.2
7900,2017_09,218.0
7900,2017_10,158.1
7900,2017_11,76.1
7900,2017_12,207.8
7900,2018_01,212.2
7900,2018_02,221.1
7900,2018_03,151.2
7900,2018_04,140.0
7900,2018_05,297.3
7900,2018_06,254.9
7900,2018_07,260.6
7900,2018_08,245.8
7900,2018_09,215.2
7900,2018_10,177.4
7900,2018_11,113.9
7900,2018_12,179.5
7900,2019_01,181.6
7900,2019_02,171.4
7900,2019_03,31.1
7900,2019_04,39.8
7900,2019_05,189.4
7900,2019_06,202.1
7900,2019_07,250.2
7900,2019_08,292.8
7900,2019_09,254.6
7900,2019_10,172.9
7900,2019_11,111.7
7900,2019_12,178.4
7900,2020_01,167.7
7900,2020_02,183.3
7900,2020_03,148.1
7900,2020_04,173.4
7900,2020_05,185.9
7900,2020_06,203.2
7900,2020_07,205.1
7900,2020_08,237.6
7900,2020_09,193.3
7900,2020_10,97.4
7900,2020_11,168.4
7900,2020_12,189.0
7900,2021_01,178.3
7900,2021_02,224.0
7900,2021_03,170.8
7900,2021_04,82.9
7900,2021_05,125.8
7900,2021_06,227.5
7900,2021_07,215.7
7900,2021_08,208.1
7900,2021_09,196.7
7900,2021_10,201.3
7900,2021_11,36.0
7900,2021_12,13.8
7900,2022_01,13.6
7900,2022_02,112.3
7900,2022_03,175.8
7900,2022_04,171.9
7900,2022_05,209.5
7900,2022_06,235.3
7900,2022_07,278.4
7900,2022_08,282.0
7900,2022_09,213.0
7900,2022_10,205.0
7900,2022_11,112.8
7900,2022_12,199.2
